model,instance_id,exit_status,wall_seconds,has_diff,patch_bytes,pred_path,traj_path,usage_path
kimi-k2.5,instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,Submitted,1075.291,True,3632,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.usage.json
kimi-k2.5,instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,Submitted,204.154,True,4058,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.usage.json
kimi-k2.5,instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,Submitted,697.319,True,104162,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.usage.json
kimi-k2.5,instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan,Submitted,969.181,True,5550,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.usage.json
kimi-k2.5,instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,Submitted,467.977,True,11498,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.usage.json
kimi-k2.5,instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f,Submitted,354.458,True,116507,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.usage.json
kimi-k2.5,instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07,Submitted,368.304,True,3466,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.usage.json
kimi-k2.5,instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,Submitted,588.689,True,13273,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.usage.json
kimi-k2.5,instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,Submitted,569.84,True,14456,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.usage.json
kimi-k2.5,instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,Submitted,209.081,True,3192,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.usage.json
